id,fullname,platform,fb_user_type,id_social,domain,created_date,createdBy
fb_100022390988721,Hằng Nga,1,255,100022390988721,facebook.com,2025-04-14T07:25:17.018Z,PageWebReplyCommentCrawlingLoader
fb_100004331498446,Hãy Tốt Với Nhau,1,255,100004331498446,facebook.com,2025-04-14T07:25:17.018Z,PageWebReplyCommentCrawlingLoader
fb_100003957678719,Luân Lê,1,255,100003957678719,facebook.com,2025-04-14T07:25:17.018Z,PageWebReplyCommentCrawlingLoader
fb_100025521318328,P.Ngọc Thao,1,255,100025521318328,facebook.com,2025-04-14T07:25:17.018Z,PageWebReplyCommentCrawlingLoader
fb_61550326984136,Quang Phú,1,255,61550326984136,facebook.com,2025-04-14T07:25:17.019Z,PageWebReplyCommentCrawlingLoader
fb_100090693951117,Long PodChill,1,255,100090693951117,facebook.com,2025-04-14T07:25:17.019Z,PageWebReplyCommentCrawlingLoader
fb_100012239886895,Khổng Tuyến,1,255,100012239886895,facebook.com,2025-04-14T07:25:17.019Z,PageWebReplyCommentCrawlingLoader
fb_100004471936264,Hoaian Nguyen,1,255,100004471936264,facebook.com,2025-04-14T07:25:17.019Z,PageWebReplyCommentCrawlingLoader
fb_100049906250050,Kim Dung Trần,1,255,100049906250050,facebook.com,2025-04-14T07:25:17.019Z,PageWebReplyCommentCrawlingLoader
fb_100014367303280,Hien Nguyen,1,255,100014367303280,facebook.com,2025-04-14T07:25:17.020Z,PageWebReplyCommentCrawlingLoader
fb_100014432953089,Đỗ Đức,1,255,100014432953089,facebook.com,2025-04-14T07:25:17.020Z,PageWebReplyCommentCrawlingLoader
fb_100051452894856,Dũng Vũ,1,255,100051452894856,facebook.com,2025-04-14T07:25:17.020Z,PageWebReplyCommentCrawlingLoader
fb_100010312961532,Minh Phương,1,255,100010312961532,facebook.com,2025-04-14T07:25:17.020Z,PageWebReplyCommentCrawlingLoader
fb_100084155983987,Thu Nhi,1,255,100084155983987,facebook.com,2025-04-14T07:25:17.020Z,PageWebReplyCommentCrawlingLoader
fb_61553713805245,Sỏ Lá Ba Que,1,255,61553713805245,facebook.com,2025-04-14T07:25:17.021Z,PageWebReplyCommentCrawlingLoader
fb_100068643933783,Đỗ Sơn,1,255,100068643933783,facebook.com,2025-04-14T07:25:17.021Z,PageWebReplyCommentCrawlingLoader
fb_100048725820887,Kỳ Thư,1,255,100048725820887,facebook.com,2025-04-14T07:25:17.021Z,PageWebReplyCommentCrawlingLoader
fb_61565138563087,Ngân Thiên,1,255,61565138563087,facebook.com,2025-04-14T07:25:17.021Z,PageWebReplyCommentCrawlingLoader
fb_100027152192980,Nguyệt Dương,1,255,100027152192980,facebook.com,2025-04-14T07:25:17.021Z,PageWebReplyCommentCrawlingLoader
fb_100050619246043,Covid Nông,1,255,100050619246043,facebook.com,2025-04-14T07:25:17.022Z,PageWebReplyCommentCrawlingLoader
fb_100046958921518,Vũ Thị Chung,1,255,100046958921518,facebook.com,2025-04-14T07:25:17.022Z,PageWebReplyCommentCrawlingLoader
fb_100009541826034,Quốc Huy,1,255,100009541826034,facebook.com,2025-04-14T07:25:17.022Z,PageWebReplyCommentCrawlingLoader
