id,id_source,retries,type,delay_time_rules,last_data_date,from_date,to_date,platform,createdBy,title
103488811143440_668475999165604,fb_103488811143440,0,2,,2024-04-10T08:23:40.065Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,🔴🔴🔴 Vết đứt gãy ở
2014391348856235_714806867535622,fb_2014391348856235,0,2,,2024-04-10T08:23:40.147Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,⭐CẢM ƠN CÁC ĐỒNG CHÍ
112174501856668_593137970438374,fb_112174501856668,0,2,,2024-04-10T08:23:40.198Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,🌳 VACNE vừa công
107850169048064_510739452104274,fb_107850169048064,0,2,,2024-04-10T08:23:40.249Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,Giả bộ bất ngờ cho
119877379846976_1229599312507606,fb_119877379846976,0,2,,2024-04-10T08:23:40.301Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,💔 #790K đôi Adidas 
110005831941646_670966689184011,fb_110005831941646,0,2,,2024-04-10T08:23:40.366Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,C.ứu trợ đ.ộng đ.ất
100893809460309_641692702046970,fb_100893809460309,0,2,,2024-04-10T08:23:40.426Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,Engwe P20 phiên bản
348525235019671_122149927898426401,fb_348525235019671,0,2,,2024-04-10T08:23:40.490Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,Hà Nội: Chùa Cự Đà
614352585084519_122118246788773355,fb_614352585084519,0,2,,2024-04-10T08:23:40.549Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,🏍 CHÂN CHỐNG SH VN –
510788468777988_122132863304620237,fb_510788468777988,0,2,,2024-04-10T08:23:40.609Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,Việc thí điểm kéo
107534394782814_979621227618376,fb_107534394782814,0,2,,2024-04-10T08:23:40.651Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,"""Địa Đạo"" – Một bộ"
316175328256019_122126778524421586,fb_316175328256019,0,2,,2024-04-10T08:23:40.693Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,🌟 CHÙM TOUR KHÁM PHÁ
613522591843922_122093363012842970,fb_613522591843922,0,2,,2024-04-10T08:23:40.752Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,🎷 Ta nói á ưng đôi
154180304652867_1099292542227900,fb_154180304652867,0,2,,2024-04-10T08:23:40.802Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,“Cà khịa” ViruSs
105341037553186_1201247272002647,fb_105341037553186,0,2,,2024-04-10T08:23:40.844Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,💥💥💥 ĐĂNG KÝ NGAY ĐỂ
104110481867388_1004085071868988,fb_104110481867388,0,2,,2024-04-10T08:23:40.918Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,Một đôi dép của
580895638439202_122123029448749392,fb_580895638439202,0,2,,2024-04-10T08:23:40.978Z,1712737420,1744273420,1,PageWebCommentCrawlingLoader,🔥 MÃN NHÃN TRƯỚC
551816845310542_687124997000213,fb_551816845310542,0,2,,2024-04-10T08:23:41.034Z,1712737421,1744273421,1,PageWebCommentCrawlingLoader,Công tác PCCC là
324818237703136_712818038058445,fb_324818237703136,0,2,,2024-04-10T08:23:41.078Z,1712737421,1744273421,1,PageWebCommentCrawlingLoader,Sau 10 ngày thực
101696788465808_1109491984548919,fb_101696788465808,0,2,,2024-04-10T08:23:41.196Z,1712737421,1744273421,1,PageWebCommentCrawlingLoader,ขนหัวลุก
111997548225211_653417564106924,fb_111997548225211,0,2,,2024-04-10T08:23:41.279Z,1712737421,1744273421,1,PageWebCommentCrawlingLoader,Nhận đơn 1 chiếc
110000895319063_657782910552064,fb_110000895319063,0,2,,2024-04-10T08:23:41.321Z,1712737421,1744273421,1,PageWebCommentCrawlingLoader,Eo ơi mặt này tốn
103394951802227_1137516828402378,fb_103394951802227,0,2,,2024-04-10T08:23:41.371Z,1712737421,1744273421,1,PageWebCommentCrawlingLoader,[PARENT’S COMMENT]
201827219691026_122223352916226790,fb_201827219691026,0,2,,2024-04-10T08:23:41.447Z,1712737421,1744273421,1,PageWebCommentCrawlingLoader,Bạn đang tìm một
109062563819795_949375107388407,fb_109062563819795,0,2,,2025-03-17T06:01:53Z,1742191313,1744273421,1,PageWebCommentCrawlingLoader,GIÂY PHÚT HÃM PHANH
100282666102849_670429559085381,fb_100282666102849,0,2,,2024-04-10T08:23:41.777Z,1712737421,1744273421,1,PageWebCommentCrawlingLoader,🏹🏹🏹 Cảnh sát Cơ động
335345826331567_122171357030359587,fb_335345826331567,0,2,,2024-04-10T08:23:41.911Z,1712737421,1744273421,1,PageWebCommentCrawlingLoader,"""Mình thích một"
103897812344903_636267132501767,fb_103897812344903,0,2,,2024-04-10T08:23:42.065Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,Chủ Nhật 6/4 Em có
104104702150483_673673938533232,fb_104104702150483,0,2,,2024-04-10T08:23:42.220Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,🔥 THÀNG 3 ĐI ĐÂU
426082200829792_646787987944807,fb_426082200829792,0,2,,2024-04-10T08:23:42.343Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,CÔNG TY PHƯƠNG TRANG
109575838198850_689564836926309,fb_109575838198850,0,2,,2024-04-10T08:23:42.518Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,✌️Đúng thời điểm -
158949073975341_122208341366127347,fb_158949073975341,0,2,,2024-04-10T08:23:42.594Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,Em mê cái dép này
524462450749933_122120990930715745,fb_524462450749933,0,2,,2024-04-10T08:23:42.691Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,Ngày nào cũng có
413403988523083_122148044708515292,fb_413403988523083,0,2,,2024-04-10T08:23:42.750Z,1712737422,1744273422,1,PageWebCommentCrawlingLoader,BÍ QUYẾT NGĂN NGỪA
