id,fullname,platform,fb_user_type,id_social,domain,created_date,createdBy
fb_100065635562992,Cửa Hàng Dinh Dưỡng Mẹ & Bé Hải Vy,1,255,100065635562992,facebook.com,2025-05-06T04:22:20.761Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAAineEGDdUrb9WCQVexvHCto8vJqHG_qtOglVDuWwbq8WCHevw9HHhLCyyv4emO4Tk,🚕_TAXI_TânUyên_61BD_🚕,9,,MS4wLjABAAAAineEGDdUrb9WCQVexvHCto8vJqHG_qtOglVDuWwbq8WCHevw9HHhLCyyv4emO4Tk,tiktok.com,2025-04-29T09:14:42.902Z,
fb_100057158865820,Trương Ái Nhi,1,255,100057158865820,facebook.com,2025-04-30T10:37:25.047Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAABRKlyfZmWjO79RId_UAHDuwmewsyL0ttfJZTJh9-eeDSSD4oYOmfL9hCWMHZ7nvY,Dược sĩ Tuyết Trâm,9,,MS4wLjABAAAABRKlyfZmWjO79RId_UAHDuwmewsyL0ttfJZTJh9-eeDSSD4oYOmfL9hCWMHZ7nvY,tiktok.com,2025-04-29T09:14:43.157Z,
tt_MS4wLjABAAAA0hl_5pKoSOVf8RzlJVICTkmQL_9FJ2LJypRy2dNmZdH8Uhhwaq1QzreZNgRemJUq,Tủ Thuốc Gia Đình,9,,MS4wLjABAAAA0hl_5pKoSOVf8RzlJVICTkmQL_9FJ2LJypRy2dNmZdH8Uhhwaq1QzreZNgRemJUq,tiktok.com,2025-04-29T09:14:42.902Z,
fb_100063591699647,Shop Baby Sáu Hiếu,1,255,100063591699647,facebook.com,2025-04-30T10:37:24.177Z,PageWebReplyCommentCrawlingLoader
fb_100036360799286,Bach Truong,1,255,100036360799286,facebook.com,2025-05-06T04:22:23.426Z,PageWebReplyCommentCrawlingLoader
fb_100064171292210,CuteBaby - Chuyên đồ mẹ và bé,1,255,100064171292210,facebook.com,2025-05-06T04:22:23.543Z,PageWebReplyCommentCrawlingLoader
fb_100076655352060,Ngọc Mấn,1,255,100076655352060,facebook.com,2025-05-05T08:07:13.630Z,PageWebCommentCrawlingLoader
fb_100064171292210,CuteBaby - Chuyên đồ mẹ và bé,1,255,100064171292210,facebook.com,2025-05-05T03:17:36.518Z,PageWebReplyCommentCrawlingLoader
tt_MS4wLjABAAAAsIcaPQxDfKyd6s-zDuWjUKQo8YNLtV5HkqZPsIfk00pPJLyFlkzp0Fn3SR-YJZvP,Mắt Sài Gòn Đường Láng,9,,MS4wLjABAAAAsIcaPQxDfKyd6s-zDuWjUKQo8YNLtV5HkqZPsIfk00pPJLyFlkzp0Fn3SR-YJZvP,tiktok.com,2025-04-29T09:14:42.902Z,
fb_100041706651507,Hoàng Hải,1,255,100041706651507,facebook.com,2025-05-06T04:22:21.913Z,PageWebReplyCommentCrawlingLoader
fb_100003611806390,Loan Asun Kids,1,255,100003611806390,facebook.com,2025-05-05T08:07:13.630Z,PageWebCommentCrawlingLoader
tt_MS4wLjABAAAAv6YT7sHefsSVOJxZKoErt1gobEJQVTSrsDWTDkCjVXUX71VLeLbZ1v2JoWM4Ifk4,Bao Anh ăn hàng,9,,MS4wLjABAAAAv6YT7sHefsSVOJxZKoErt1gobEJQVTSrsDWTDkCjVXUX71VLeLbZ1v2JoWM4Ifk4,tiktok.com,2025-04-29T09:14:42.902Z,
fb_100044972531033,Tuyết Như,1,255,100044972531033,facebook.com,2025-05-03T04:05:23.018Z,PageWebCommentCrawlingLoader
tt_MS4wLjABAAAALLNT4-gHTjhqmdnMdivIRnTuOCZQbjhOFDZE6FUIWAaM3rHrSk-tQTtBaGAErcW1,chinguyen13277,9,,MS4wLjABAAAALLNT4-gHTjhqmdnMdivIRnTuOCZQbjhOFDZE6FUIWAaM3rHrSk-tQTtBaGAErcW1,tiktok.com,2025-04-29T09:14:42.902Z,
tt_MS4wLjABAAAARzwRJSSwjuemcV5dd8T3v_qtywBb9V7h1sy4wKsrgmo,Hải Yến ♡,9,,MS4wLjABAAAARzwRJSSwjuemcV5dd8T3v_qtywBb9V7h1sy4wKsrgmo,tiktok.com,2025-04-29T09:14:43.157Z,
