id,reply_updated_at,last_status,platform,reply_last_date,reply_next_crawl_time,createdBy,post_updated_at,post_last_date,next_crawl_time
tr_1335641096,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747214053,2024-05-14T08:39:47.913Z,2025-05-15T17:14:13.382Z
tr_13542199528,1747213408,0,10,2025-05-08T02:45:02.000Z,2025-05-14T13:03:28.901Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1193849097,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747214212,2025-04-10T08:05:44.000Z,2025-05-14T21:16:52.085Z
tr_1306415394,1747213677,0,10,2025-05-12T16:46:46.000Z,2025-05-14T13:07:57.492Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1460631370,1747212678,0,10,2024-05-14T08:39:33.835Z,2025-05-15T16:51:18.639Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1239344222,1747212870,0,10,2024-05-14T08:39:33.836Z,2025-05-15T16:54:30.748Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1287426936,1747212932,0,10,2025-05-08T09:45:13.000Z,2025-05-14T12:55:32.091Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1164571253,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213555,2025-04-05T17:08:21.000Z,2025-05-14T21:05:55.252Z
tr_11171437249,1747213084,0,10,2024-10-12T14:30:56.000Z,2025-05-15T16:58:04.935Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
tr_1483178008,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747214119,2024-05-14T08:39:47.913Z,2025-05-15T17:15:19.469Z
tr_1473476786,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213897,2025-05-11T08:09:31.000Z,2025-05-14T13:11:37.925Z
tr_13488892423,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213563,2025-05-14T05:26:05.000Z,2025-05-14T13:06:03.800Z
tr_1186828209,,0,10,,,ThreadsSourcePostNoCookieCrawlingLoader,1747213761,2024-05-14T08:39:46.717Z,2025-05-15T17:09:21.842Z
tr_12628578253,1747213433,0,10,2025-01-16T11:04:01.000Z,2025-05-15T17:03:53.232Z,ThreadsSourceReplyNoCookieCrawlingLoader,,,
