id,mapping_id,fullname,platform,link,id_social,created_date,domain,createdBy
tr_63453385973,tr_63453385973,staygoldentori,10,threads.net/@staygoldentori,63453385973,2025-07-28T18:39:25.356Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_63135563185,tr_63135563185,fishing_bay2ga,10,threads.net/@fishing_bay2ga,63135563185,2025-07-28T18:39:25.356Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_63149309480,tr_63149309480,jstlbby,10,threads.net/@jstlbby,63149309480,2025-07-28T18:39:25.356Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_63326944037,tr_63326944037,mrwilliamsprek,10,threads.net/@mrwilliamsprek,63326944037,2025-07-28T18:39:25.356Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_63321737011,tr_63321737011,shitszngiggles,10,threads.net/@shitszngiggles,63321737011,2025-07-28T18:39:25.356Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_66256428166,tr_66256428166,_ngngkha.aii_,10,threads.net/@_ngngkha.aii_,66256428166,2025-07-28T18:39:26.960Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63071964699,tr_63071964699,codingwithroby,10,threads.net/@codingwithroby,63071964699,2025-07-28T18:39:26.960Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_63690810077,tr_63690810077,stefanmunz,10,threads.net/@stefanmunz,63690810077,2025-07-28T18:39:26.960Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_64777824246,tr_64777824246,kjmhye,10,threads.net/@kjmhye,64777824246,2025-07-28T18:39:29.845Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_63134134631,tr_63134134631,enzymm_241,10,threads.net/@enzymm_241,63134134631,2025-07-28T18:39:29.845Z,threads.net,ThreadsPostCommentCrawlingLoader
tr_63375136379,tr_63375136379,ngghuynhip,10,threads.net/@ngghuynhip,63375136379,2025-07-28T18:39:30.243Z,threads.net,ThreadsSourceReplyNoCookieCrawlingLoader
tr_68888886611,tr_68888886611,_haf.phwon9_,10,threads.net/@_haf.phwon9_,68888886611,2025-07-28T18:39:30.332Z,threads.net,ThreadsRepostNoCookieCrawlingLoader
tr_75883259477,tr_75883259477,nguyenvantrieu983,10,threads.net/@nguyenvantrieu983,75883259477,2025-07-28T18:39:31.686Z,threads.net,ThreadsPostCommentCrawlingLoader
